C_Random,Season,Tournament,Round order,Rd,N/JV,Resolution,C_Tag_Check,Randomize,End Date,Gov ballots,Gov wins,Note,Opp ballots,Opp wins,Start Date,Topic Committee,Region,Unnamed: 18,Analy HS,Ashland HS,Bakersfield State College,Bellarmine CP,Benicia HS,Berkeley HS,Berkeley HS (online),BHSEC Queens,Bishop O'Dowd HS,Bloomsburg U,Brooklyn Tech HS,Cajon HS,California Lutheran U,Campolindo HS,Campolindo HS (online),Canyon Crest Academy,Carlsbad HS,CFL (online),CHSSA (online),City College of SF,CK McClatchy HS,Clackamas HS,Claremont HS,Claremont HS (online),Claremont McKenna College,Clovis North HS,Columbia U,Columbia U (online),CSU Fullerton,CSU Long Beach,CSU Long Beach (online),Culver City,Culver City HS,Cupertino HS,Cypress College,Dalton School,De Anza College,De Toledo HS (online),Diablo Valley College,Dougherty Valley HS,El Cerrito HS,Enochs HS,Evergreen Valley HS,Evergreen Valley HS (online),Friends Seminary,GGSA (online),Gunn HS,Harker School,Harvard U (online),Head Royce School,Head-Royce School,Horace Mann School,Hunter College HS,Irvington HS,Irvington HS (online),Irvington HS / Bentley School,James Logan HS,La Costa Canyon HS,La Reina HS,La Reina HS (online),Leland HS,Leland HS / Bret Harte MS,Lewis & Clark College,Linfield U,Los Altos HS,Los Gatos HS,Los Osos HS,Lowell HS,Loyola HS,Lynbrook HS,Marshfield HS,McMinnville HS,Menlo-Atherton HS,Milpitas HS,Milpitas HS (online),Mira Loma HS,Miramonte HS,Monta Vista HS,Monte Vista HS,Mountain House HS,Mountain View HS,MVLA (online),N/A,NCPDL (online),New Roads School,Northgate HS,Notre Dame HS,Notre Dame HS (online),NPDL (online),Nueva School,Nueva School (online),NYPDL (online),Oak Ridge HS,online,Oregon City HS,Pacific U,Palo Alto HS,Peninsula HS,Peninsula HS (online),Pepperdine U,PHSSL (online),Ponderosa HS,Presentation HS,Prospect HS,Prospect HS (online),Reynolds HS,Ridge HS,Ridge HS (online),Rye County Day School,San Ramon HS,San Ramon Valley HS,Sandy HS,Santa Clara U,Santa Rosa HS,Santa Rosa JC,Schurr HS,SDSU,Silverton HS,Sonoma Academy,Sprague HS,St Pius X HS (MO),St. Francis HS,St. Mary's School,Stanford U,Stuyvesant HS,Summit HS,SVUDL (online),Taft HS,Tillamook HS,Trinity School,U of Oregon,U of Oregon (online),U of the Pacific,UC Berkeley,UC Berkeley (online),UC Los Angeles (online),UPenn,Valencia HS,Vassar College,Vassar College (online),Vista Murrieta HS,Washington HS,Washington HS (online),Westmont HS,Westview HS,Whitman College (WA),Wilcox HS,Willamette U,Wilson HS,Wilson HS (online),Windsor HS,Yale U,Yale U (online),Yuba City HS,classification,classification_confidence
1,2025-26,BIPDI 2025-26,3.0,1.c,1.c,"Cyber-vigilantism does more harm than good.
INFOSLIDE: Cyber-vigilantism is a hack directed against a cyber criminal site or organization. While extralegal (and often illegal) cyber vigilantism is conducted to impede or punish cyber crime, and not necessarily crimes of which the vigilantes themselves have been the victims: offenses against third parties are commonly occasions of cyber vigilantism.",True,No,2/1/2026,,,,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fact,high
1,2025-26,BIPDI 2025-26,4.0,2.a,2.a,America’s European allies should reduce their security cooperation with the US.,True,No,2/1/2026,,,theme: International Relations,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,policy,high
1,2025-26,BIPDI 2025-26,5.0,2.b,2.b,"This House, as a political leader in Latin America, would take a public stance against Donald Trump.",True,No,2/1/2026,,,theme: International Relations,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,policy,medium
1,2025-26,BIPDI 2025-26,6.0,2.c,2.c,"This house, as the European Union, would send in troops in the event of a U.S. invasion of Greenland.",True,No,2/1/2026,,,theme: International Relations,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,policy,medium
1,2025-26,BIPDI 2025-26,7.0,3.a,3.a,"The US federal government should acquire golden shares in strategically important firms (e.g., NVIDIA, MP Materials, US Steel).",True,No,2/1/2026,,,theme: Business,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,policy,high
1,2025-26,BIPDI 2025-26,8.0,3.b,3.b,China's rapid expansion of the Electric Vehicles industry has done more harm than good.,True,No,2/1/2026,,,theme: Business,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fact,high
1,2025-26,BIPDI 2025-26,9.0,3.c,3.c,The US federal government should replace the current patent system for pharmaceuticals with monetary prizes for innovation (funded by a tax on the sale of the affected products).,True,No,2/1/2026,,,theme: Business,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,policy,high
1,2025-26,BIPDI 2025-26,10.0,4.a,4.a,"In romance, This House would hold out for a perfect partner over a partner that, although you love them, has important qualities you wish were different.",True,No,2/1/2026,,,theme: Love & the Fallout,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,policy,medium
1,2025-26,BIPDI 2025-26,11.0,4.b,4.b,This House regrets the social acceptability of sharing screenshots of private conversations without consent.,True,No,2/1/2026,,,theme: Love & the Fallout,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,value,high
1,2025-26,BIPDI 2025-26,12.0,4.c,4.c,"This House, as a long-term romantic couple with an excellent relationship, would choose to have the ability to read each other's minds.",True,No,2/1/2026,,,theme: Love & the Fallout,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,policy,medium
1,2025-26,BIPDI 2025-26,13.0,5.a,5.a,"This House would live by Nietzsche’s doctrine of eternal recurrence.
INFO SLIDE: The philosopher Freidrich Nietzsche grappled with how to live a meaningful life if you do not believe in religion nor in objective morality. He proposed a thought experiment: imagine you were forced to live your life over and over again. Instead of nonexistence or an afterlife, you will watch as you live the exact same life, make the exact same choices, and get the exact same result over and over. This is eternal recurrence. Nietzsche says you ought to live in such a way that you could face eternal recurrence with no regrets, no wish to have done things differently.",True,No,2/1/2026,,,theme: Philosophy,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,policy,medium
1,2025-26,BIPDI 2025-26,14.0,5.b,5.b,Humans have moral obligations to people who do not yet exist.,True,No,2/1/2026,,,theme: Philosophy,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fact,low
1,2025-26,BIPDI 2025-26,15.0,5.c,5.c,"We should be honest with people, even when we believe they will be better off not knowing the truth.",True,No,2/1/2026,,,theme: Philosophy,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fact,high
1,2025-26,BIPDI 2025-26,16.0,D.a,S.a,Partitioning Bosnia and Herzegovina would do more harm than good.,True,No,2/1/2026,,,theme: More International Relations,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,policy,medium
1,2025-26,BIPDI 2025-26,17.0,D.b,S.b,NATO should remove the United States from its membership.,True,No,2/1/2026,,,theme: More International Relations,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,policy,high
1,2025-26,BIPDI 2025-26,18.0,D.c,S.c,The US ought to prioritize the acceptance of refugees from countries that the US military has invaded.,True,No,2/1/2026,,,theme: More International Relations,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,value,high
1,2025-26,BIPDI 2025-26,19.0,O.a,F.a,"The Mormon church should not posthumously baptize the dead, unless they explicitly consented to it in life.",True,No,2/1/2026,,,theme: Religion,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,policy,high
1,2025-26,BIPDI 2025-26,20.0,O.b,F.b,It is in the interest of the Catholic Church for Pope Leo XIV to strongly oppose Donald Trump.,True,No,2/1/2026,,,theme: Religion,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fact,medium
1,2025-26,BIPDI 2025-26,21.0,O.c,F.c,"This House, as the founder of a religion, would include the concepts of sin and divine punishment.",True,No,2/1/2026,,,theme: Religion,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,policy,medium
1,2025-26,BIPDI 2025-26,22.0,Q.a,.,"This House, as a new country adopting a constitution for the first time, would include a right to trial by jury.",True,No,2/1/2026,,,theme: Courts and Law,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,policy,medium
1,2025-26,BIPDI 2025-26,23.0,Q.b,.,"This House, as the framers of the United States Constitution, would prohibit only ""cruel"" punishments rather than ""cruel and unusual"" punishments, thereby allowing unusual punishments that are not cruel.",True,No,2/1/2026,,,theme: Courts and Law,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,policy,medium
1,2025-26,BIPDI 2025-26,24.0,Q.c,.,Courts ought to include the victims’ forgiveness as a mitigating factor in sentencing.,True,No,2/1/2026,,,theme: Courts and Law,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,value,high
1,2025-26,BIPDI 2025-26,25.0,S.a,.,"This House regrets the rise of Therapy-Tok.
INFOSLIDE: Therapy-tok refers to a rapidly growing number of therapy influencers on Tik-Tok, and those who consume their content.",True,No,2/1/2026,,,theme: Media and Celebrity,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,value,high
1,2025-26,BIPDI 2025-26,26.0,S.b,.,"This House opposes the publication of works of art that their creators explicitly did not want published after their deaths (e.g., 'Until August' by Gabriel García Márquez, 'The Trial' by Franz Kafka, or Emily Dickinson's correspondence).",True,No,2/1/2026,,,theme: Media and Celebrity,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,policy,medium
1,2025-26,BIPDI 2025-26,27.0,S.c,.,"The Right of Publicity does more harm than good.
INFOSLIDE: The Right of Publicity prohibits Person A from using the name, likeness, or other indicia of personal identity of Person B—such as nickname, pseudonym, voice, signature, likeness, or photograph—for commercial benefit without Person B's consent.",True,No,2/1/2026,,,theme: Media and Celebrity,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fact,high
1,2025-26,BIPDI 2025-26,28.0,F.a,.,This House Believes That the existence of billionaires is immoral.,True,No,2/1/2026,,,,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,value,high
1,2025-26,BIPDI 2025-26,29.0,F.b,.,"This House would repeal the Johnson amendment.
INFOSLIDE: Under US law, the Johnson Amendment forbids all non-profit organizations from attempting to influence the outcome of elections. This includes, but is not limited to, a prohibition on endorsing or opposing candidates, and a prohibition on making campaign contributions. They are, however, allowed to engage in certain facially nonpartisan activities like holding public forums and get-out-the-vote drives. For clarity, the Johnson amendment applies to churches, universities, secular nonprofits like the ACLU, and non-profit sports entities like the NCAA.",True,No,2/1/2026,,,,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,policy,medium
1,2025-26,BIPDI 2025-26,30.0,F.c,.,This House would live off grid.,True,No,2/1/2026,,,,,,1/31/2026,"Rosie Bultman, Joel Jacobs, Rodda John, Evan Streams",NorCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,policy,medium
